prop_min,prop_ally,beta,prop_ally_top_k,prop_min_top_k
0.05,0,0.05,0,0
0.05,0,0.1,0,0.01
0.05,0,0.15,0,0.006666667
0.05,0,0.2,0,0.01
0.05,0,0.25,0,0.012
0.05,0,0.3,0,0.016666667
0.05,0,0.35,0,0.017142857
0.05,0,0.4,0,0.015
0.05,0,0.45,0,0.013333333
0.05,0,0.5,0,0.012
0.05,0,0.55,0,0.010909091
0.05,0,0.6,0,0.01
0.05,0,0.65,0,0.009230769
0.05,0,0.7,0,0.008571429
0.05,0,0.75,0,0.008
0.05,0,0.8,0,0.0075
0.05,0,0.85,0,0.007058824
0.05,0,0.9,0,0.006666667
0.05,0,0.95,0,0.006315789
0.05,0,1,0,0.05
0.05,0,0.05,0,0
0.05,0,0.1,0,0.02
0.05,0,0.15,0,0.033333333
0.05,0,0.2,0,0.03
0.05,0,0.25,0,0.028
0.05,0,0.3,0,0.026666667
0.05,0,0.35,0,0.022857143
0.05,0,0.4,0,0.02
0.05,0,0.45,0,0.017777778
0.05,0,0.5,0,0.016
0.05,0,0.55,0,0.014545455
0.05,0,0.6,0,0.013333333
0.05,0,0.65,0,0.012307692
0.05,0,0.7,0,0.011428571
0.05,0,0.75,0,0.010666667
0.05,0,0.8,0,0.01
0.05,0,0.85,0,0.009411765
0.05,0,0.9,0,0.008888889
0.05,0,0.95,0,0.008421053
0.05,0,1,0,0.05
0.05,0,0.05,0,0
0.05,0,0.1,0,0.01
0.05,0,0.15,0,0.006666667
0.05,0,0.2,0,0.02
0.05,0,0.25,0,0.024
0.05,0,0.3,0,0.04
0.05,0,0.35,0,0.04
0.05,0,0.4,0,0.035
0.05,0,0.45,0,0.031111111
0.05,0,0.5,0,0.028
0.05,0,0.55,0,0.025454545
0.05,0,0.6,0,0.023333333
0.05,0,0.65,0,0.021538462
0.05,0,0.7,0,0.02
0.05,0,0.75,0,0.018666667
0.05,0,0.8,0,0.0175
0.05,0,0.85,0,0.016470588
0.05,0,0.9,0,0.015555556
0.05,0,0.95,0,0.014736842
0.05,0,1,0,0.05
0.05,0,0.05,0,0
0.05,0,0.1,0,0
0.05,0,0.15,0,0
0.05,0,0.2,0,0.005
0.05,0,0.25,0,0.012
0.05,0,0.3,0,0.02
0.05,0,0.35,0,0.02
0.05,0,0.4,0,0.0275
0.05,0,0.45,0,0.024444444
0.05,0,0.5,0,0.022
0.05,0,0.55,0,0.02
0.05,0,0.6,0,0.018333333
0.05,0,0.65,0,0.016923077
0.05,0,0.7,0,0.015714286
0.05,0,0.75,0,0.014666667
0.05,0,0.8,0,0.01375
0.05,0,0.85,0,0.012941176
0.05,0,0.9,0,0.012222222
0.05,0,0.95,0,0.011578947
0.05,0,1,0,0.05
0.05,0,0.05,0,0
0.05,0,0.1,0,0
0.05,0,0.15,0,0.006666667
0.05,0,0.2,0,0.02
0.05,0,0.25,0,0.024
0.05,0,0.3,0,0.026666667
0.05,0,0.35,0,0.031428571
0.05,0,0.4,0,0.03
0.05,0,0.45,0,0.026666667
0.05,0,0.5,0,0.024
0.05,0,0.55,0,0.021818182
0.05,0,0.6,0,0.02
0.05,0,0.65,0,0.018461538
0.05,0,0.7,0,0.017142857
0.05,0,0.75,0,0.016
0.05,0,0.8,0,0.015
0.05,0,0.85,0,0.014117647
0.05,0,0.9,0,0.013333333
0.05,0,0.95,0,0.012631579
0.05,0,1,0,0.05
0.05,0,0.05,0,0
0.05,0,0.1,0,0
0.05,0,0.15,0,0.006666667
0.05,0,0.2,0,0.005
0.05,0,0.25,0,0.012
0.05,0,0.3,0,0.013333333
0.05,0,0.35,0,0.02
0.05,0,0.4,0,0.025
0.05,0,0.45,0,0.022222222
0.05,0,0.5,0,0.02
0.05,0,0.55,0,0.018181818
0.05,0,0.6,0,0.016666667
0.05,0,0.65,0,0.015384615
0.05,0,0.7,0,0.014285714
0.05,0,0.75,0,0.013333333
0.05,0,0.8,0,0.0125
0.05,0,0.85,0,0.011764706
0.05,0,0.9,0,0.011111111
0.05,0,0.95,0,0.010526316
0.05,0,1,0,0.05
0.05,0,0.05,0,0.02
0.05,0,0.1,0,0.01
0.05,0,0.15,0,0.006666667
0.05,0,0.2,0,0.015
0.05,0,0.25,0,0.016
0.05,0,0.3,0,0.023333333
0.05,0,0.35,0,0.02
0.05,0,0.4,0,0.0225
0.05,0,0.45,0,0.02
0.05,0,0.5,0,0.018
0.05,0,0.55,0,0.016363636
0.05,0,0.6,0,0.015
0.05,0,0.65,0,0.013846154
0.05,0,0.7,0,0.012857143
0.05,0,0.75,0,0.012
0.05,0,0.8,0,0.01125
0.05,0,0.85,0,0.010588235
0.05,0,0.9,0,0.01
0.05,0,0.95,0,0.009473684
0.05,0,1,0,0.05
0.05,0,0.05,0,0.02
0.05,0,0.1,0,0.02
0.05,0,0.15,0,0.02
0.05,0,0.2,0,0.03
0.05,0,0.25,0,0.024
0.05,0,0.3,0,0.026666667
0.05,0,0.35,0,0.037142857
0.05,0,0.4,0,0.0375
0.05,0,0.45,0,0.033333333
0.05,0,0.5,0,0.03
0.05,0,0.55,0,0.027272727
0.05,0,0.6,0,0.025
0.05,0,0.65,0,0.023076923
